Band Index,lmin,lpeak,lmax,nside
1         ,0   ,0    ,50  ,32
2         ,0   ,50   ,100 ,64
3         ,50  ,100  ,150 ,128
4         ,100 ,150  ,250 ,128
5         ,150 ,250  ,400 ,256
6         ,250 ,400  ,500 ,256
7         ,400 ,500  ,700 ,512
8         ,500 ,700  ,1100 ,1024
9         ,700 ,1100  ,1300 ,1024
10         ,1100 ,1300  ,1500 ,1024
11         ,1300 ,1500  ,1800 ,1024
12         ,1500 ,1800  ,2100 ,2048
13         ,1800 ,2100  ,2600 ,2048
14         ,2100 ,2600  ,3000 ,2048
15         ,2600 ,3000  ,3800 ,2048
